36,"    Personal income excluding current transfer receipts, billions of chained (2012) dollars5",9732.7,9757.4,9753.2,9793.9,9748,9854.8,9927.1,10040.8,10039,10146,10257.4,10403.6,10320.2,10425.7,10490.4,10607.4,10845.1,10908.4,10912.7,11089.6,11174.3,11256.5,11256.6,11255.5,11262.4,11141.6,11072.3,11147.5,10739,10580.6,10453.3,10473.1,10502.3,10711.7,10808.5,10879,11132.1,11130.6,11224.2,11253.9,11499.6,11609.3,11550.6,11943.8,11502.5,11613.8,11638.6,11693.4,11868.1,12000.3,12144.2,12331.6,12522.9,12563.2,12629.8,12712.6,12747.4,12726.7,12803.9,12879.8,13006.1,13146,13239,13352.2,13400,13484.8,13644.1,13781.8,13957.5,13986.3,14066.4,14178,14261.7,13513.4,14040.4,14335.3,14219.9,14401.8,14491.6,14589.6,14507.5,14453.7,14610.2,14711.6
,    Disposable personal income:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"        Total, billions of chained (2012) dollars5",9963.9,10044.6,10059.5,10123.4,10117.5,10244.6,10424,10452.8,10499.2,10608.3,10684.3,10819.3,10688.3,10792,10837.2,10928,11147.9,11190.4,11212.8,11355.3,11439.5,11491.3,11511.2,11529.3,11548.8,11772.7,11537.5,11661.6,11636.7,11699.1,11557.3,11579.7,11667.4,11860.9,11936.6,11980.4,12094.8,12064.1,12117.7,12152.3,12375.7,12486.5,12404.8,12750.9,12248.6,12339.8,12387.2,12424.6,12580.4,12747.1,12890.1,13069.5,13243.4,13280.1,13357,13439.8,13541.6,13519.5,13584.8,13656.9,13790.4,13927.2,14006.8,14063.6,14204.8,14323.8,14476.9,14634.7,14823.4,14822.6,14944.2,15041.5,15130.1,16645,15969.6,15596,17328.1,15920.1,15734.4,15537.3,15108.8,15021.2,15140.6,15324.9
,        Per capita:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,            Current dollars,27764,28133,28249,28491,28633,28957,29584,29741,30045,30494,30787,31365,31099,31532,31925,32368,33119,33461,33682,33967,34455,34827,34994,35316,35586,36550,36114,35836,35445,35704,35432,35692,36029,36613,36840,37131,37734,37939,38203,38358,39252,39629,39401,40643,39120,39372,39601,39802,40422,41087,41576,42015,42324,42571,42830,42962,43233,43356,43640,43993,44618,45103,45444,45841,46579,47159,47759,48391,49066,49307,49768,50199,50627,55415,53580,52512,58998,55029,55077,55159,54581,55171,56121,57245
39,            Chained (2012) dollars,34725,34929,34892,35028,34935,35295,35825,35838,35927,36221,36390,36759,36237,36510,36570,36784,37442,37500,37478,37858,38054,38141,38109,38072,38053,38706,37840,38158,37999,38124,37576,37562,37771,38324,38487,38545,38843,38674,38764,38793,39436,39719,39376,40391,38737,38960,39028,39062,39481,39931,40292,40764,41235,41275,41426,41595,41835,41693,41809,41949,42295,42649,42816,42917,43295,43600,43997,44412,44937,44884,45186,45414,45636,50181,48120,46970,52195,47931,47324,46689,45375,45065,45359,45844
40,"    Population (midperiod, thousands)",286935,287574,288303,289007,289609,290253,290974,291669,292237,292875,293603,294334,294957,295588,296340,297086,297736,298408,299180,299946,300609,301284,302062,302829,303494,304160,304902,305616,306237,306866,307573,308285,308901,309488,310148,310817,311376,311940,312606,313258,313813,314373,315030,315685,316196,316733,317396,318072,318645,319228,319919,320611,321168,321744,322428,323110,323689,324265,324926,325557,326053,326554,327140,327692,328091,328526,329040,329522,329868,330245,330729,331208,331534,331699,331872,332045,331989,332149,332480,332786,332978,333321,333799,334282
,    Percent change from preceding period:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"        Disposable personal income, current dollars",10.6,6.4,2.7,4.5,2.9,5.5,10,3.1,5,7.1,4.9,8.8,-2.5,6.6,6.1,6.7,10.6,5.1,3.7,4.5,6.8,5.3,3,4.8,4,12.3,-3.8,-2.1,-3.5,3.8,-2.1,3.9,4.7,7.5,3.4,4.1,7.4,2.9,3.7,2.5,10.4,4.6,-1.5,14.2,-13.6,3.3,3.2,2.9,7.1,7.5,5.8,5.2,3.7,3.1,3.3,2.1,3.3,1.9,3.5,4.1,6.4,5.1,3.8,4.2,7.1,5.6,5.8,6,6.1,2.4,4.4,4.1,3.9,43.8,-12.4,-7.5,59.2,-24.2,0.8,1,-3.9,4.8,7.7,8.9
42,"        Disposable personal income, chained (2012) dollars",9.7,3.3,0.6,2.6,-0.2,5.1,7.2,1.1,1.8,4.2,2.9,5.2,-4.8,3.9,1.7,3.4,8.3,1.5,0.8,5.2,3,1.8,0.7,0.6,0.7,8,-7.8,4.4,-0.9,2.2,-4.8,0.8,3.1,6.8,2.6,1.5,3.9,-1,1.8,1.1,7.6,3.6,-2.6,11.6,-14.8,3,1.5,1.2,5.1,5.4,4.6,5.7,5.4,1.1,2.3,2.5,3.1,-0.7,1.9,2.1,4,4,2.3,1.6,4.1,3.4,4.3,4.4,5.3,0,3.3,2.6,2.4,46.5,-15.3,-9,52.4,-28.8,-4.6,-4.9,-10.6,-2.3,3.2,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend/Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Includes actual employer contributions and actuarially imputed employer contributions to reflect benefits accrued by defined benefit pension plan participants through service to employers in the current period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Social security benefits include old-age, survivors, and disability insurance benefits that are distributed from the federal old-age and survivors insurance trust fund and the disability insurance trust fund.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Medicare benefits include hospital and supplementary medical insurance benefits that are distributed from the federal hospital insurance trust fund and the supplementary medical insurance trust fund.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Consists of nonmortgage interest paid by households.  Note that mortgage interest paid by households is an expense item in the calculation of rental income of persons.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. The current-dollar measure is deflated by the implicit price deflator for personal consumption expenditures.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
